"ET","NEE ","ER","GPP","TMAX","TMIN","TAVG","HAVG","HDEG","CDEG","WCMN","WSPD","ATOT","RAIN","EVI"
"0.7499543456","-3.2727780974867","1.1279892396903","4.400767337177","45.86","16.25","31.02","66.77","33.94","0","8.01","6.17","12.28","0","0.93133333333333"
"0.6394014009","-2.7664217514159","1.4194838517635","4.1859056031794","48.97","18.83","32.07","65.39","31.1","0","10.97","4.92","12.41","0","0.946"
"0.291971457","-0.75723889834513","1.5030232757363","2.2602621740814","57.42","26.46","42.82","75.69","23.06","0","23.08","7.09","12.9","0.16","0.426"
"0.801257125","-1.6889444092035","1.1153410603009","2.8042854695044","40.4","16.25","27.46","65.88","36.68","0","5.61","7.69","15.2","0","0.57"
"0.509314941","-1.5887331637168","1.6216099763097","3.2103431400265","56.16","17.75","37.92","81.08","28.04","0","10.77","7.65","8.52","0","0.57792307692308"
"0.356832906","0.26944375221239","2.6515218206549","2.3820780684425","58.05","37.76","46.52","95.57","17.1","0","34.55","5.13","4.96","0.01","0.58584615384615"
"0.654780143","0.11316768053097","4.1287866346195","4.0156189540885","64.6","47.77","56.79","89.52","8.82","0","44.23","15.56","6.53","0","0.59376923076923"
"1.864328604","-0.59685530973451","4.4367199223894","5.0335752321239","71.42","55.83","61.3","76","1.37","0","-996","19.62","13.78","0","0.60169230769231"
"1.4287779365","-2.2498922946903","2.651551369885","4.9014436645752","56.48","38.09","46.61","78.8","17.71","0","30.52","11.04","12.52","0","0.60961538461538"
"0.59254757","1.0955984782301","2.4826745193451","1.387076041115","38.14","30.93","35.48","99.56","30.47","0","22.04","8.27","3.32","0.01","0.61753846153846"
"1.06934999","0.8906755460177","2.9422918545133","2.0516163084956","34.42","29.67","31.79","100","32.95","0","17.11","-996","2.83","0.41","0.62546153846154"
"1.28019078","-0.40232700955752","1.8996716234071","2.3019986329646","30.01","16.32","21.2","85.12","41.84","0","0.74","15.4","13.89","0.08","0.63338461538462"
"0.92444207","-0.84130484893805","1.5387995744602","2.3801044233982","31.41","10.35","20.45","72.48","44.12","0","0.26","5.24","16.18","0.07","0.64130769230769"
"1.2044562","-0.3874673779646","3.1156210282301","3.5030884061947","39.02","23.9","31.09","60.39","33.54","0","12.95","10.09","6.75","0.04","0.64923076923077"
"0.51500551","0.16069345327434","4.1178058884956","3.9571124352212","42.77","31.59","37.1","94.02","27.82","0","20.78","11.1","3.43","0.01","0.65715384615385"
"0.39006528","0.20269162831858","5.4778880230089","5.2751963946903","51.01","39.47","44.36","97.72","19.76","0","30.3","9.69","4.16","0.2","0.66507692307692"
"0.4430657839","0.0099151908849556","5.0574129156637","5.0474977247788","54.7","28.86","39.85","66.08","23.22","0","21.05","10.51","17.66","0","0.673"
"1.361468615","-0.67653125362832","4.9001351272566","5.576666380885","59.65","34.34","48.34","49.71","18.01","0","26.97","19.04","11.58","0","0.65916666666667"
"1.71280776","-0.9859680079646","4.2438869522124","5.229854960177","68.36","42.37","54.23","47.15","9.64","0","34.72","12","11.8","0","0.64533333333333"
"1.3375863","-1.102194979646","1.9714174367257","3.0736124163717","42.17","21.26","29.02","81.59","33.29","0","8.05","14.75","3.96","0","0.6315"
"0.39191656","-0.35839087032743","0.90695929829735","1.2653501686248","31.62","21.04","26.16","94.11","38.67","0","7.93","7.22","3.31","0","0.61766666666667"
"1.53726977","-3.1278475385841","1.2448516611504","4.3726991997345","45.7","20.92","32.37","74.2","31.69","0","12.26","9.72","18.67","0","0.60383333333333"
"1.4649713","-1.8613060032743","0.69333865566372","2.5546446589381","33.37","18.52","27.07","62.81","39.06","0","5.48","12.94","13.59","0","0.59"
"0.46928342","-0.77105595743363","0.85100434131504","1.6220602987487","30.28","27.57","29.16","86.88","36.08","0","17.79","6.68","2.03","0.01","0.57616666666667"
"1.68941856","-1.8383692559735","1.3730459623009","3.2114152182743","48.81","23.7","34.64","79.16","28.74","0","17.33","6.99","18.54","0.1","0.56233333333333"
"1.73803802","-2.028782950885","1.7565477422655","3.7853306931504","57.24","29.09","41.78","72.23","21.84","0","23.24","11.13","15.07","0","0.5485"
"0.37110645","1.2141456841593","2.7139068118673","1.499761127708","46.89","31.3","41.72","96.36","25.91","0","26","5.61","4.13","0.07","0.53466666666667"
"3.38692041","-0.86988236814159","2.6900664538938","3.5599488220354","61.29","32.25","46.17","74.3","18.23","0","24.23","18.85","18.35","0.01","0.52083333333333"
"1.511015612","-1.9523091520354","1.8465992275221","3.7989083795575","53.38","21.89","37.15","57.57","27.36","0","12.63","5.75","19.59","0","0.507"
"2.6800563","-2.1250962637168","2.5307238722655","4.6558201359823","63.86","29.96","45.42","50.79","18.09","0","22.89","13.57","-996","0","0.5042"
"0.782755932","-0.2876264219469","1.5817202769027","1.8693466988496","45.09","22.13","31.65","84.16","31.39","0","8.65","9.37","4.07","0","0.5014"
"0.655032577","0.69956356300885","1.3695924639823","0.67002890097345","28.63","18.76","22.3","94.19","41.3","0","16.38","-996","2.43","0","0.4986"
"0.919513767","-0.59220157778761","1.3830946574336","1.9752962352212","24.28","17.91","20.4","90.98","43.91","0","-996","-996","6.59","0","0.4958"
"0.514627443","-2.0380699760177","1.3657221453982","3.4037921214159","39.08","22.76","28.58","89.52","34.08","0","-996","-996","9.56","0.03","0.493"
"0.66760106","-0.43867386716814","1.7719127330973","2.2105866002655","34.72","24.34","30.66","84.03","35.47","0","21.92","-996","4.67","0","0.4902"
"1.143562666","-0.061954885752213","1.5188861330442","1.5808410187965","30.78","11.52","20.06","72.42","43.85","0","-6.6","19.04","10.35","0","0.4874"
"0.9502800331","-0.43596964513274","1.428046450885","1.8640160960177","24.56","9.36","15.26","55.17","48.04","0","-8.17","11.32","13.73","0","0.4846"
"1.162682826","-0.73898993309735","1.8657801176496","2.6047700507469","43.03","9.64","24.96","56.18","38.66","0","0.27","7.04","22.06","0","0.4818"
"1.541102489","0.18823881504425","2.8392134204867","2.6509746054425","54.07","15.06","34.8","48.91","30.43","0","7.43","12.11","20.88","0","0.479"
"1.351384176","0.53630004424779","3.9796855247788","3.443385480531","59.86","36.18","46.26","55.92","16.98","0","26.76","11.01","12.72","0","0.4749"
"1.183331095","1.0070286292035","3.4371705533894","2.4301419241858","48.29","37.24","42.64","92.32","22.23","0","29.54","7.39","6.1","0","0.4708"
"3.94000929","0.45699330265487","4.2095870278248","3.7525937251699","71.55","41.61","56.28","54.27","8.42","0","35.55","17.38","22.37","0.1","0.4667"
"1.43397404","0.4606959799115","3.2092014177876","2.7485054378761","45.01","35.15","39.9","64.42","24.92","0","27","9.47","7.44","0.01","0.4626"
"0.84009349","0.55046367079646","3.0705368176991","2.5200731469027","56.35","38.37","47.3","77.94","17.64","0","33.85","3.62","7.35","0.06","0.4585"
"1.66263778","-0.60911204336283","3.3873613144248","3.9964733577876","60.13","50.04","54.36","99.18","9.91","0","-996","11.96","2.86","0.06","0.4544"
"6.07945825","0.2203537619469","4.0315547081947","3.8112009462478","69.44","45.5","60.48","64.18","7.53","0","37.52","26.35","19.17","1.05","0.4503"
"3.78121166","-1.9454397714159","2.5945237258407","4.5399634972566","53.38","38.82","45.7","51.71","18.9","0","30.71","17.96","15.34","0","0.4462"
"3.31901289","-3.0486499486726","2.4208718806195","5.469521829292","53.73","31.58","42","48.43","22.35","0","25.73","11.84","24.01","0","0.4421"
"2.536871326","-2.2155749625664","2.6748726268142","4.8904475893805","60.89","25.35","43.49","55.06","21.88","0","18.67","6.3","22.63","0","0.438"
"5.58437736","-5.3789426761062","7.5439169413009","12.922859617407","80.01","40.8","61.95","60.14","4.6","0","37.01","11.88","28.7","0","0.653"
"5.8919921695","-5.5046671486726","8.7128292989469","14.217496447619","81.48","57","69.44","65.05","0","4.24","-996","20.7","27.57","0","0.6476"
"2.08362002","-1.7577991162832","7.8459972419469","9.6037963582301","72.61","59.43","65.42","81.43","0","1.02","-996","8.63","10.07","0.17","0.6422"
"1.71758269","-2.4481678460177","6.2794312192035","8.7275990652212","60.48","53.71","55.98","95.05","7.91","0","-996","10.09","5.22","2.47","0.6368"
"3.00353025","-9.399268720354","6.5547795990266","15.954048319381","67.48","51.58","57.97","84.25","5.47","0","-996","4.13","21.01","0","0.6314"
"5.46812194","-7.4971767345133","7.5347034109089","15.031880145422","78.22","47.61","62.27","73.69","2.08","0","45.03","9.45","28.27","0","0.626"
"5.8645645","-2.4958271230089","9.8278721707699","12.323699293779","86.86","58.51","72.88","71.67","0","7.69","-996","-996","30.17","0","0.428"
"5.67370016","-1.668533479646","10.190200872823","11.858734352469","86.02","62.29","73.48","75.19","0","9.16","-996","-996","29.72","0","0.45375"
"4.41818995","-0.68509705141593","10.527675976195","11.212773027611","82.2","65.59","73.5","78.11","0","8.89","-996","-996","19.44","0","0.4795"
"2.61080266","1.2384693318584","8.8305660645133","7.5920967326549","73.58","51.69","66.85","87.62","2.36","0","-996","-996","11.02","1.62","0.50525"
"4.72307153","-4.9286500255752","7.4655460123009","12.394196037876","74.25","48.22","62.22","74.99","3.77","0","-996","-996","31.14","0","0.531"
"1.16677944","3.1769477482301","7.8509493145752","4.6740015663451","77.7","54","63.24","93.05","0","0.85","-996","-996","5.87","2.59","0.51245454545455"
"7.1152806029","-3.4313635752212","7.9234590592035","11.354822634425","74.71","59.79","65.77","69.84","0","2.25","-996","-996","27.03","3.23","0.49390909090909"
"3.735247064","-4.0019594256637","8.8089296790265","12.81088910469","84.33","48.36","68.57","82.25","0","1.34","-996","-996","20.82","0","0.47536363636364"
"3.89153218","-0.15446702389381","10.310959443982","10.465426467876","83.37","68.31","74.93","85.48","0","10.84","-996","-996","14.06","0.01","0.45681818181818"
"4.16072114","-0.15136859469027","10.337415680708","10.488784275398","83.28","64.31","73.87","87.06","0","8.8","-996","-996","15.11","0.73","0.43827272727273"
"4.69150706","-3.5294587566372","9.7008793861062","13.230338142743","82.09","63.14","71.75","86.78","0","7.62","-996","-996","19.98","0.61","0.41972727272727"
"4.6364271","-4.3565828017699","9.6075875309735","13.964170332743","80.96","63.99","72.28","84.55","0","7.47","-996","-996","21.48","0","0.40118181818182"
"5.2982816","-2.3782237964602","10.388830906195","12.767054702655","82.87","68.9","75.38","79.96","0","10.88","-996","-996","23.9","0","0.38263636363636"
"5.16586836","-2.1723069751327","10.286023285752","12.458330260885","84.49","65.17","74.2","83.17","0","9.83","-996","-996","22.64","0.69","0.36409090909091"
"2.41447354","-2.5639186380531","8.0104375115044","10.574356149558","71.49","56.86","64.07","90.58","0.82","0","-996","-996","11.73","0.09","0.34554545454545"
"5.304862331","-6.7635933320708","8.7927303953628","15.556323727434","80.01","52.43","66.61","69.34","0","1.22","-996","-996","31.49","0","0.327"
